title,link,price,rank
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,31.05,3
The Elephant Tree,the-elephant-tree_968/index.html,23.82,5
The Bear and the Piano,the-bear-and-the-piano_967/index.html,36.89,1
Sophie's World,sophies-world_966/index.html,15.94,5
Penny Maybe,penny-maybe_965/index.html,33.29,3
Maude (1883-1993):She Grew Up with the country,maude-1883-1993she-grew-up-with-the-country_964/index.html,18.02,2
"In a Dark, Dark Wood",in-a-dark-dark-wood_963/index.html,19.63,1
Behind Closed Doors,behind-closed-doors_962/index.html,52.22,4
You can't bury them all: Poems,you-cant-bury-them-all-poems_961/index.html,33.63,2
Slow States of Collapse: Poems,slow-states-of-collapse-poems_960/index.html,57.31,3
Reasons to Stay Alive,reasons-to-stay-alive_959/index.html,26.41,2
Private Paris (Private #10),private-paris-private-10_958/index.html,47.61,5
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,23.11,5
Without Borders (Wanderlove #1),without-borders-wanderlove-1_956/index.html,45.07,2
When We Collided,when-we-collided_955/index.html,31.77,1
"We Love You, Charlie Freeman",we-love-you-charlie-freeman_954/index.html,50.27,5
Untitled Collection: Sabbath Poems 2014,untitled-collection-sabbath-poems-2014_953/index.html,14.27,4
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,44.18,4
Unicorn Tracks,unicorn-tracks_951/index.html,18.78,3
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,25.52,1
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,16.28,1
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,31.12,3
This One Summer,this-one-summer_947/index.html,19.49,4
Thirst,thirst_946/index.html,17.27,5
The Torch Is Passed: A Harding Family Story,the-torch-is-passed-a-harding-family-story_945/index.html,19.09,1
The Secret of Dreadwillow Carse,the-secret-of-dreadwillow-carse_944/index.html,56.13,1
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,56.41,1
The Past Never Ends,the-past-never-ends_942/index.html,56.5,4
The Natural History of Us (The Fine Art of Pretending #2),the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,45.22,3
The Nameless City (The Nameless City #1),the-nameless-city-the-nameless-city-1_940/index.html,38.16,4
The Murder That Never Was (Forensic Instincts #5),the-murder-that-never-was-forensic-instincts-5_939/index.html,54.11,3
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,42.96,4
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,23.89,4
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,16.77,3
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,20.59,5
The Gutsy Girl: Escapades for Your Life of Epic Adventure,the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,37.13,1
The Electric Pencil: Drawings from Inside State Hospital No. 3,the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,56.06,1
The Death of Humanity: and the Case for Life,the-death-of-humanity-and-the-case-for-life_932/index.html,58.11,4
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,49.05,3
The Art Forger,the-art-forger_930/index.html,40.76,3
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,19.73,1
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,32.24,5
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,41.83,4
Soul Reader,soul-reader_926/index.html,39.58,2
Security,security_925/index.html,39.25,2
"Saga, Volume 6 (Saga (Collected Editions) #6)",saga-volume-6-saga-collected-editions-6_924/index.html,25.02,3
"Saga, Volume 5 (Saga (Collected Editions) #5)",saga-volume-5-saga-collected-editions-5_923/index.html,51.04,2
Reskilling America: Learning to Labor in the Twenty-First Century,reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,19.83,2
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,50.4,3
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,13.61,5
Princess Between Worlds (Wide-Awake Princess #5),princess-between-worlds-wide-awake-princess-5_919/index.html,13.34,5
"Pop Gun War, Volume 1: Gift",pop-gun-war-volume-1-gift_918/index.html,18.97,1
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,36.28,2
Patience,patience_916/index.html,10.16,3
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,15.44,4
orange: The Complete Collection 1 (orange: The Complete Collection #1),orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,48.41,1
Online Marketing for Busy Authors: A Step-By-Step Guide,online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,46.35,1
On a Midnight Clear,on-a-midnight-clear_912/index.html,14.07,3
Obsidian (Lux #1),obsidian-lux-1_911/index.html,14.86,2
My Paris Kitchen: Recipes and Stories,my-paris-kitchen-recipes-and-stories_910/index.html,33.37,2
Masks and Shadows,masks-and-shadows_909/index.html,56.4,2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,14.02,4
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,46.91,2
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,45.61,3
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,19.92,2
"Layered: Baking, Building, and Styling Spectacular Cakes",layered-baking-building-and-styling-spectacular-cakes_904/index.html,40.11,1
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,53.9,2
Join,join_902/index.html,35.67,5
In the Country We Love: My Family Divided,in-the-country-we-love-my-family-divided_901/index.html,22.0,4
